Dist: 111.360747014, Mag: 18.612050147, Danger: 0
Dist: 3.51750181974, Mag: 22.393593359, Danger: 0
Dist: 127.130949824, Mag: 26.3405675401, Danger: 0
Dist: 75.2318197661, Mag: 23.4535658586, Danger: 0
Dist: 7.01743769852, Mag: 20.0631503696, Danger: 0
Dist: 23.7228542482, Mag: 18.6912730643, Danger: 0
Dist: 3.41386277585, Mag: 15.586486365, Danger: 0
Dist: 28.9802043344, Mag: 17.1510468091, Danger: 0
Dist: 115.822990013, Mag: 29.5535695731, Danger: 0
Dist: 8.68503183326, Mag: 22.8614412013, Danger: 0
Dist: 31.1221516888, Mag: 15.8276057309, Danger: 0
Dist: 3.53881514052, Mag: 24.8160132404, Danger: 0
Dist: 89.3177666996, Mag: 19.8012426065, Danger: 0
Dist: 29.5017559683, Mag: 17.3875516738, Danger: 0
Dist: 49.8800578761, Mag: 14.199815512, Danger: 0
Dist: 1.73092838056, Mag: 15.6661674305, Danger: 0
Dist: 38.3452877256, Mag: 21.2789466835, Danger: 0
Dist: 95.5142684827, Mag: 28.2691066831, Danger: 0
Dist: 9.04850938653, Mag: 13.8181876465, Danger: 0
Dist: 1.674436391, Mag: 24.5982138553, Danger: 1
Dist: 111.370123514, Mag: 18.8438722489, Danger: 0
Dist: 3.51788785782, Mag: 22.2437663586, Danger: 0
Dist: 127.133444256, Mag: 30.1041799644, Danger: 0
Dist: 75.2188058528, Mag: 26.4970065845, Danger: 0
Dist: 7.01598828088, Mag: 22.9798612161, Danger: 0
Dist: 23.713598998, Mag: 18.8734586712, Danger: 0
Dist: 3.41334262012, Mag: 18.8050709898, Danger: 0
Dist: 28.9797069842, Mag: 21.5243037264, Danger: 0
Dist: 115.800496091, Mag: 31.5606070051, Danger: 0
Dist: 8.68527758965, Mag: 26.1812719586, Danger: 0
Dist: 31.1245258431, Mag: 15.837021585, Danger: 0
Dist: 3.53877698273, Mag: 28.3494532582, Danger: 0
Dist: 89.3178059715, Mag: 19.9113687002, Danger: 0
Dist: 29.5021369093, Mag: 21.0558045352, Danger: 0
Dist: 49.8751863825, Mag: 16.2794125119, Danger: 0
Dist: 1.73040546396, Mag: 20.1284001325, Danger: 1
Dist: 38.3480821848, Mag: 25.9965759112, Danger: 0
Dist: 95.5132275804, Mag: 28.1541743774, Danger: 0
Dist: 9.05520702822, Mag: 17.8662077863, Danger: 0
Dist: 1.67912108793, Mag: 28.1155428745, Danger: 1
Dist: 111.364888056, Mag: 22.6135004934, Danger: 0
Dist: 3.51761504842, Mag: 26.2296622565, Danger: 0
Dist: 127.139052342, Mag: 31.5212864046, Danger: 0
Dist: 75.214087024, Mag: 30.8026292103, Danger: 0
Dist: 7.01600188327, Mag: 26.381388994, Danger: 0
Dist: 23.7132249428, Mag: 19.8519688523, Danger: 0
Dist: 3.41315662958, Mag: 21.6718401246, Danger: 0
Dist: 28.9865222131, Mag: 23.4317768157, Danger: 0
Dist: 115.82047751, Mag: 36.2656113984, Danger: 0
Dist: 8.68677458762, Mag: 29.2725653051, Danger: 0
Dist: 31.1182463536, Mag: 17.3549428455, Danger: 0
Dist: 3.53909396599, Mag: 31.6665569505, Danger: 0
Dist: 89.3169592489, Mag: 24.4231424424, Danger: 0
Dist: 29.502192991, Mag: 24.215662656, Danger: 0
Dist: 49.8690319149, Mag: 20.0909584773, Danger: 0
Dist: 1.73044062556, Mag: 20.5097626901, Danger: 1
Dist: 38.3499600335, Mag: 26.6805732648, Danger: 0
Dist: 95.5249221478, Mag: 29.1023382041, Danger: 0
Dist: 9.06065466966, Mag: 22.5361390432, Danger: 0
Dist: 1.67756358228, Mag: 32.0050098838, Danger: 1
Dist: 111.38394882, Mag: 25.8156977887, Danger: 0
Dist: 3.51777021676, Mag: 26.5193597151, Danger: 0
Dist: 127.146875958, Mag: 32.5543324002, Danger: 0
Dist: 75.2117842032, Mag: 32.2399158108, Danger: 0
Dist: 7.01688395536, Mag: 26.8344075816, Danger: 0
Dist: 23.7143543272, Mag: 24.4922751979, Danger: 0
Dist: 3.41277952337, Mag: 26.1462469509, Danger: 0
Dist: 28.985734477, Mag: 26.3378945684, Danger: 0
Dist: 115.808623043, Mag: 38.209117786, Danger: 0
Dist: 8.68538972972, Mag: 32.0848004546, Danger: 0
Dist: 31.1127656996, Mag: 18.191891728, Danger: 0
Dist: 3.53917275315, Mag: 34.3229488324, Danger: 0
Dist: 89.3168993064, Mag: 26.6902618565, Danger: 0
Dist: 29.5010052616, Mag: 28.7438691657, Danger: 0
Dist: 49.8729404504, Mag: 22.4706863172, Danger: 0
Dist: 1.73041662067, Mag: 24.9079607416, Danger: 1
Dist: 38.3507890926, Mag: 27.0448992249, Danger: 0
Dist: 95.5252499734, Mag: 30.3822364532, Danger: 0
Dist: 9.06049666223, Mag: 26.8604872883, Danger: 0
Dist: 1.67768767481, Mag: 33.3040824989, Danger: 1
Dist: 111.369750135, Mag: 27.1461296291, Danger: 0
Dist: 3.51810866668, Mag: 27.534819264, Danger: 0
Dist: 127.149853051, Mag: 32.99787886, Danger: 0
Dist: 75.2056642496, Mag: 34.1982767846, Danger: 0
Dist: 7.01638860147, Mag: 30.4575728686, Danger: 0
Dist: 23.710381961, Mag: 28.8907720991, Danger: 0
Dist: 3.41278311593, Mag: 29.7759198322, Danger: 0
Dist: 28.9911417665, Mag: 28.591913842, Danger: 0
Dist: 115.797131851, Mag: 41.4723494165, Danger: 0
Dist: 8.68429411069, Mag: 34.4853679999, Danger: 0
Dist: 31.1101451977, Mag: 19.1096639538, Danger: 0
Dist: 3.53884757026, Mag: 35.57424547, Danger: 1
Dist: 89.3160753504, Mag: 29.8019117356, Danger: 0
Dist: 29.5048228008, Mag: 29.12124189, Danger: 0
Dist: 49.8637507039, Mag: 26.8778957065, Danger: 0
Dist: 1.73083966147, Mag: 25.3112534522, Danger: 1
Dist: 38.3509537733, Mag: 27.1081263622, Danger: 0
Dist: 95.5075853045, Mag: 30.591939564, Danger: 0
Dist: 9.05580129371, Mag: 29.1362565397, Danger: 0
Dist: 1.67286836116, Mag: 34.6981766236, Danger: 1
Dist: 111.37832646, Mag: 30.7126467262, Danger: 0
Dist: 3.51850908063, Mag: 27.4879821514, Danger: 0
Dist: 127.163246396, Mag: 34.9933940749, Danger: 0
Dist: 75.2040894506, Mag: 36.8356075085, Danger: 0
Dist: 7.01636148178, Mag: 34.0820105587, Danger: 0
Dist: 23.7166987276, Mag: 33.3327791406, Danger: 0
Dist: 3.4122187106, Mag: 32.9504737261, Danger: 0
Dist: 28.9974614269, Mag: 32.8368661596, Danger: 0
Dist: 115.784932463, Mag: 45.4281895964, Danger: 0
Dist: 8.6831682225, Mag: 36.4317538601, Danger: 0
Dist: 31.1027241814, Mag: 21.1661364625, Danger: 0
Dist: 3.53888460114, Mag: 36.2350314917, Danger: 1
Dist: 89.3160866699, Mag: 31.8705997687, Danger: 0
Dist: 29.5084939044, Mag: 31.0811150821, Danger: 0
Dist: 49.8672305504, Mag: 27.5337730103, Danger: 0
Dist: 1.73045258328, Mag: 27.8619465711, Danger: 1
Dist: 38.3516465346, Mag: 28.8763691068, Danger: 0
Dist: 95.4970053797, Mag: 30.6647547232, Danger: 0
Dist: 9.05817883043, Mag: 30.6733521571, Danger: 0
Dist: 1.67473755586, Mag: 37.4468345356, Danger: 1
Dist: 111.379061021, Mag: 31.8670447608, Danger: 0
Dist: 3.51839129302, Mag: 28.8550815246, Danger: 0
Dist: 127.148274274, Mag: 35.4965469651, Danger: 0
Dist: 75.2063608623, Mag: 37.0934515263, Danger: 0
Dist: 7.01623798538, Mag: 38.4743403229, Danger: 0
Dist: 23.7170064225, Mag: 34.5447202435, Danger: 0
Dist: 3.41202139037, Mag: 35.1503483538, Danger: 1
Dist: 28.9991692433, Mag: 34.9329120566, Danger: 0
Dist: 115.778238704, Mag: 47.5955025774, Danger: 0
Dist: 8.68296705693, Mag: 38.5167788162, Danger: 0
Dist: 31.1095878481, Mag: 21.8721064869, Danger: 0
Dist: 3.53871726197, Mag: 37.3178844982, Danger: 1
Dist: 89.3172402941, Mag: 32.708367036, Danger: 0
Dist: 29.5045311409, Mag: 31.454816246, Danger: 0
Dist: 49.8731064582, Mag: 29.749986998, Danger: 0
Dist: 1.73049962176, Mag: 32.1573016752, Danger: 1
Dist: 38.3545499701, Mag: 33.5457333402, Danger: 0
Dist: 95.5102467295, Mag: 33.1988229134, Danger: 0
Dist: 9.05481683885, Mag: 32.855715575, Danger: 0
Dist: 1.67529030238, Mag: 40.9488362859, Danger: 1
Dist: 111.38185412, Mag: 34.8736197276, Danger: 0
Dist: 3.51781273513, Mag: 29.9959203253, Danger: 0
Dist: 127.149675186, Mag: 36.6267190221, Danger: 0
Dist: 75.2069585756, Mag: 37.3767462934, Danger: 0
Dist: 7.01652900362, Mag: 39.456634617, Danger: 0
Dist: 23.717230651, Mag: 35.9784358123, Danger: 0
Dist: 3.412009985, Mag: 37.318544362, Danger: 1
Dist: 28.9963482173, Mag: 39.3482517735, Danger: 0
Dist: 115.771164302, Mag: 48.6826054167, Danger: 0
Dist: 8.68417494814, Mag: 40.0182340822, Danger: 0
Dist: 31.1096381053, Mag: 23.3211728552, Danger: 0
Dist: 3.53880885081, Mag: 41.4682093268, Danger: 1
Dist: 89.3183050543, Mag: 33.7591140543, Danger: 0
Dist: 29.5056532568, Mag: 32.0567099506, Danger: 0
Dist: 49.8779451244, Mag: 31.0638443148, Danger: 0
Dist: 1.73044746031, Mag: 34.4641468656, Danger: 1
Dist: 38.3544766138, Mag: 36.6833404841, Danger: 0
Dist: 95.5151063102, Mag: 36.5758882784, Danger: 0
Dist: 9.05111819513, Mag: 33.5831376738, Danger: 0
Dist: 1.68049590063, Mag: 40.8893392208, Danger: 1
